EA1470 NORWICH THORPE JUNCTION TO LOWESTOFT			
TIMING POINTS INCLUDED	DOWN	UP	NOTES
"Somerleyton to Oulton BroadNorth Junction"	AB+1*	AB+1	"TCB plan as AB*A Norwich-Lowestoft train cannot arrive OultonBroad North (station) until 2 minutes after anIpswich-Lowestoft train has passed Coke OvensJn"
"Oulton Broad North Junction toLowestoft"	4	4	
EA1480 WHITLINGHAM JUNCTION TO CROMER			
TIMING POINTS INCLUDED	DOWN	UP	NOTES
"Whitlingham Junction toWroxham"	11	11	
Wroxham to North Walsham	12		"Single line. No intermediate signal in Downdirection"
North Walsham to Worstead		5	"Single line. Intermediate block signal headwayfor following moves in up direction"
Worstead to Wroxham		7	"Single line. Intermediate block signal headwayfor following moves in up direction"
North Walsham to Gunton	7	7	Single line. Intermediate signal
Gunton to Cromer	10	10	Single line. Intermediate signal
EA1490 CROMER TO SHERINGHAM			
TIMING POINTS INCLUDED	DOWN	UP	NOTES
Cromer to Sheringham	One Train Working	Single line. OT.	
EA1500 BRUNDALL JUNCTION TO YARMOUTH			
TIMING POINTS INCLUDED	DOWN	UP	NOTES
"Brundall Junction toAcle (exclusive)"	AB+1	Single line. TCB plan as AB.	
"Acle (exclusive) toYarmouth (exclusive)"	AB+1	Single line. TCB plan as AB.	
EA1510 REEDHAM JUNCTION TO YARMOUTH			
TIMING POINTS INCLUDED	DOWN	UP	NOTES
"Reedham Junction toYarmouth (exclusive)"	AB+1	Single line. TCB plan as AB.	
EA1520 SAXMUNDHAM TO SIZEWELL			
TIMING POINTS INCLUDED	DOWN	UP	NOTES
"Saxmundham Junction toSizewell"	One Train Working	Single line. OTS.	
