LN3340 ALREWAS (INCLUSIVE) TO WICHNOR JUNCTION				
TIMING POINT	DOWN	UP	CODE	NOTES
""				
Alrewas	–	–		"Single lineTo/From Lichfield City – MD 340"
Wichnor Junction Signal DY78	–		S	"All trains reversing back to Barton-under-Needwood CMD should be timed here"
Wichnor Jn		–		"Single line.To/from Derby – LN3501"
LN3501 DERBY LONDON ROAD JUNCTION TO TAMWORTH				
TIMING POINT	DOWN	UP	CODE	NOTES
""				
Derby	"DTS UTSDTF"			"Platform detail must be shown.To/from Ambergate Jn – LN3201"
St Andrews Siding		–		TIPLOC DRBYEL
L & NW Jn	–	"UTF DTFDTS UTS"		To/From St Andrews Sidings
Peartree	–	–	S	
Melbourne Jn	DSL	–	X	To/from Sinfin Sidings – LN3515
Sunny Hill	–	USL	X	
Stenson Jn	–	–		To/from Sheet Stores Jn – LN3520
North Stafford Jn	–	–		"To/from Tutbury & Hatton – LN3505Required as the reversing point for allshunt movements to/from CastleDonington Branch (LN3520) for correctautomated routing in SARS"
Willington	–	–	S	
Clay Mills Jn	"DTFDTG"	–		
Wetmore Jn	"DTFDTG"	"UTFUTG"	X	
Burton West Yard	– DTG	–	F	
Burton East Yard	– DTG	UTG	F	
Horninglow Bridge Jn	DTF		X	
Burton on Trent	"DTFDTG"	"UTFUTG"		
Leicester Jn	"– DTFDTG"	"– UTFUTG"	X	To/from Birmingham Curve Jn – LN3525
Branston Jn	"– DTFDTG"	–	X	To/from Birmingham Curve Jn – LN3535
Barton-under-Needwood Nth Jn	–	–	X	
Barton-under-Needwood CMD	–	–	S	Also referred to as Central Rivers Depot
Barton-under-Needwood Sth Jn	–	–	X	"Trains from Central Rivers Depot towardsAlrewas can be routed via either the Downor Up Tamworth"
Wichnor Jn	–	–		To/from Alrewas – LN3340
Elford Down Goods Loop	–		S	Recessed trains only
Tamworth High Level	–	–		
