""	SO440 RIPPLE LANE EXCHANGE SIDINGS TO DAGENHAM JUNCTION			
""	TIMING POINT	DOWN	UP	NOTES
""				
""	"Ripple Lane Exchange Sidings –Dagenham Junction"	4	3	
""	SO450 EBBSFLEET WEST JUNCTION TO SPRINGHEAD ROAD JUNCTION			
""	TIMING POINT	DOWN	UP	NOTES
""				
""	"Ebbsfleet West Junction –Springhead Road Junction"	3	3	
""	SO460 FAWKHAM JUNCTION TO SOUTHFLEET JUNCTION			
""	TIMING POINT	DOWN	UP	NOTES
""				
""	"Fawkham Junction – SouthfleetJunction"	3	3	
""	"SO470 ASHFORD WEST JUNCTION (AD 947 AND AD949 SIGNALS) TO ASHFORDINTERNATIONAL"			
""	TIMING POINT	DOWN	UP	NOTES
""				
""	"Ashford West Junction – AshfordInternational"	3	3	
""	"SO480 ASHFORD INTERNATIONAL TO ASHFORD EAST JUNCTION (AD954 ANDAD956 SIGNALS)"			
""	TIMING POINT	DOWN	UP	NOTES
""				
""	"Ashford International– AshfordEast Junction"	3	3	
""	SO490 DOLLANDS MOOR WEST JUNCTION TO DOLLANDS MOOR SIDINGS			
""	TIMING POINT	DOWN	UP	NOTES
""				
""	"Dollands Moor West Junction –Dollands Moor Sidings (AD759Signal)"	6	6	
