Swanley			
""			
Adjustments to Sectional Running Times			
Movement Down	Reason	Value	
"Pass Down Chatham Slow to DownMaidstone"	"Approach Control signal VS251 for20mph using 895 crossovers"	"{1} and also {1⁄2}approaching next timingpoint"	
Dwell Time			
All services	1		
""			
""	Swanley		
""			
""	Junction Margins		
""	First Movement	Second Movement	Margin
""	"Non-stop train travelling from the DownChatham Fast to the Down Chatham Main"	"Train from Otford travelling towards the UpChatham Slow or train travelling from UpChatham Main to Up Chatham Slow"	21⁄2
""	"Non-stop train travelling from the Up ChathamMain to the Up Chatham Fast"	"Train from the Down Chatham Slow or DownChatham Fast travelling towards Otford"	21⁄2
""	"Passenger/ECS passing Swanley on DownChatham Slow crossing  to Down Maidstone"	"Non-stop service passing from Up ChathamMain to Up Chatham Slow"	21⁄2
""	"Freight train passing Swanley on DownChatham Slow crossing  to Down Maidstone"	"Non-stop service passing from Up ChathamMain to Up Chatham Slow"	31⁄2
""	"Train depart Platform 1 or 3 to the DownMaidstone"	"Up train arrive/pass Platform 1 or 3 from UpMaidstone"	5
""			
""	Planning Note		
""	"The non-stop headway applies for consecutive departures from Swanley in the Down direction providing the firsttrain does not stop at Eynsford and the correct headway is applied at the next common timing point irrespective ofcalling pattern. National TPR section 1.5.5 Application of Planning Headways refers"		
""	Sole Street		
""			
""	Adjustment Allowance		
""	Movement Down	Reason	Value
""	Down train enters Platform 1 and terminates	Single Line Working during engineering works	1
