""	Hoo Junction	
""	"For Freight departures from Hoo Junction in the updirection"	Hoo Junction signal NK512 to be used (TIPLOC HOJ512)
""	"For Freight departures from Hoo Junction in thedown direction"	Hoo Junction signal NK511 to be used(HOOJS11)
""	"For freight departures from Hoo Junction towardsthe Grain Branch"	Cliffe signal NK509 to be used(CLFFD12)
""	"For freight arrivals at Hoo Junction from the GrainBranch"	"The TIPLOC (HOOJ) must be used and CLFFD12 mustnot be used"
""		
""	Hoo Down Yard		
""			
""	Freight Length Restrictions	Length Limit	
""			60 SLU
Hoo Up Yard		
""		
Freight Length Restrictions	Length Limit	
""		67 SLU
Propelling Movements	Reason	Value
"Propelling movements from Tonbridgetowards Tonbridge West Yard"	Slow speed movement when propelling.	5
Strood		
""		
Berthing Facilities		
Location	Cars	Notes
"Up Platform Loop (Platform3)"	8	
""		
Connectional Allowance	4	
""		
Dwell Time		
12 Car services in platform 2	11⁄2	
All other services	1	
""		
ECS Working		
"ECS trains from Down Main Signal NK1630 running beyond Strood towards Gravesend are required to stand inplatforms 2 or 3 for 1 minute to ensure correct operation of ARS"		
""		
""		
Permissive working for attaching/detaching and platform sharing is authorised as shown below:		
Platform 1	Down North Kent	Detaching only
Platform 2	Up North Kent	Prohibited
Platform 3	Up Loop	"Attaching/Detaching and PlatformSharing"
A second train must arrive in an occupied platform before the first train is allowed to depart		
""		
Overlap Restrictions		
First Movement	Second Movement	Margin
