LN860 DIGGLE JUNCTION TO COPLEY HILL EAST JUNCTION: Down Direction			
HEADWAY AT	"FOLLOWINGNON-STOP"	"FOLLOWINGSTOPPER"	NOTES
Diggle Junction	See notes	See notes	"This section is TCB.  It is operated as one sectionMarsden to Diggle Junction as though it were AB"
Marsden	4	4	
Huddersfield (arriving)	4*	4*	*31⁄2 if arriving at different platforms
Huddersfield (depart)	4*	4	"*21⁄2 if calling at Deighton and/or diverging at BradleyJunction, following non–stop; 31⁄2 consecutive fastsHuddersfield if coming from different platforms"
Bradley Junction	21⁄2	4	
Heaton Lodge East Jn	21⁄2*	3	*3 following freight going towards Healey Mills
Mirfield East Junction	21⁄2	4*	* 3 if only stopping at Mirfield
Dewsbury	21⁄2	5*	"* 31⁄2  if not stopping at Batley4 for a class 185 stopping at Batley"
Morley	3	41⁄2*	"* 3 if non stop to Leeds*6 If following a train that is stopping at both WhiteRose and Cottingley"
"Trains maybe timed 2 minutes apart at Whitehall JunctionStopping headway from Mirfield East Junction is based on stopping at Mirfield, Ravensthorpe, Dewsbury, Batley,Morley, Cottingley/White Rose."			
LN860 COPLEY HILL EAST JUNCTION TO DIGGLE JUNCTION: Up Direction			
HEADWAY AT	"FOLLOWINGNON-STOP"	"FOLLOWINGSTOPPER"	NOTES
Whitehall Jn	21⁄2$	5*	"* 6 if following a train stopping at both White Roseand Cottingley$ Can be reduced to 2 minutes if 1⁄2 pathing isincluded in the second train approaching the nexttiming point after Whitehall Jn"
Morley	21⁄2	5	
Dewsbury	21⁄2	41⁄2*	* 3 if not stopping at Ravensthorpe
Thornhill LNW Junction	21⁄2	21⁄2	
Mirfield East J (FL)	21⁄2	4	
Mirfield East J (SL)	4	4	
Heaton Lodge Junction	21⁄2	3	
Bradley Junction	21⁄2	3	
Huddersfield (arriving)	21⁄2	21⁄2	
Huddersfield (depart)	4	4	
Marsden (arriving)	-	41⁄2	
Marsden (departing)	See notes	See notes	"This section is TCB.  It is operated as one sectionDiggle Junction to Marsden as though it were AB(Second train can depart Marsden 1 after first trainhas passed Diggle)"
"Stopping headway to Thornhill LNW Junction is based on a train stopping at White Rose/Cottingley, Morley,Batley, Dewsbury,"			
