NW3007	Wrexham Central to Bidston West Jn
NW3009	Chester North Jn to Chester South Jn
NW3011	Chester West Jn to Hooton South Jn
NW3013	Hooton South Jn to Helsby Jn
NW3021	Frodsham Jn to Halton Jn
NW3023	Edgeley Jn No. 2 to Mickle Trafford
NW3025	Skelton Jn to Partington
NW3027	Timperley to Altrincham (Metrolink Lines)
NW3029	Sandbach North Jn to Northwich West Jn
NW3031	Northwich South Jn to Northwich Station Jn
NW3033	Hartford East Jn to Hartford North Jn (East Goods Line)
NW3035	Hartford West Jn to Oakleigh Sidings (Winnington Branch)
NW3037	Hartford C.L.C. Jn to Hartford Jn
NW4001	Preston Ribble Jn to Cove L. C.
NW4003	Preston Fylde Jn to Deepdale Jn
NW4005	Preston Fylde Jn to Blackpool North
NW4007	Kirkham North Jn to Blackpool South
NW4011	Morecambe South Jn to Morecambe
NW4013	Hest Bank to Bare Lane
NW4017	Morecambe Jn to Heysham Port
NW4019	Oxenholme to Windermere
NW4021	Upperby Jn to Rome Street Jn
NW4023	Upperby Jn to London Road Jn
NW4025	Currock Jn to Bog Jn
NW4027	Carlisle Yard Recess Sidings to Brunthill
NW4029	Mossband Jn to Bush–On–Esk
NW4031	Gretna Jn to Gretna Green (exclusive)
NW4033	Carnforth North Jn to Carlisle South Jn (via Barrow)
NW4041	Dalton Jn to Park South Jn
NW5001	Crewe North Jn to Manchester Piccadilly
NW5003	Wilmslow to Slade Lane Jn (Styal Lines)
NW5005	Heald Green South Jn to Heald Green West Jn
NW5007	Manchester Airport to Heald Green North Jn
NW5008	Norton Bridge to Stone Jn
NW5009	Colwich Jn to Cheadle Hulme
NW5010	Glebe Street Jn to Caldon Quarry
NW5011	Heaton Norris Jn to Guide Bridge Station Jn
NW5012	Foley Crossing (exclusive) to Stoke Jn
NW5013	Denton Jn to Ashton Moss North Jn
NW5015	Hadfield to Ardwick Jn
NW5017	Dinting South Jn to Dinting East Jn
NW5019	Glossop to Dinting West Jn
NW5021	Guide Bridge West Jn to Stalybridge
NW6001	Manchester Piccadilly East Jn to Euxton Jn
NW6003	Castlefield Jn to Allerton Jn
NW6004	Water Street Jn to Salford Central (Ordsall Chord Lines)
NW6005	Manchester Victoria East Jn to Windsor Bridge South Jn
NW6007	Deal Street Jn to Ordsall Lane Jn
NW6009	Windsor Bridge North Jn to Southport
NW6011	Bolton East Jn to Blackburn Bolton Jn
NW6013	Lostock Jn to Crow Nest Jn
NW6015	Wigan Wallgate to Headbolt Lane
NW7001	Manchester Victoria West Jn to Hebden Bridge
NW7005	Castleton East Jn to Hopwood G. F.
NW7006	Todmorden to Stansfield Hall Jn (Todmorden West Curve)
