""	West Ruislip		
""			
""	Junction Margins		
""	First Movement	Second Movement	Margin
""	Pass on the Up Main	Depart platform 4 to the up Main	2
""	Down train arrives/pass platform 4	Pass on the Up Main	3
""	Pass on the Up Main	Down train arrives platform 4	3*
""	* 21⁄2 if second train has stopped at South Ruislip		
""	Down arrive/pass from South Ruislip	"Pass on the Up Main, crossing to Down Main atRuislip Gardens Jn"	21⁄2
""	Down arrive/pass from South Ruislip	"Up train departs and crosses to Down Main atRuislip Gardens Jn"	1
""	Gerrards Cross				
""					
""	Adjustment to Sectional Running Times				
""	Movement Down	Reason	Value		
""	"Train to turnback siding not stopping atGerrards Cross"	Approach control	1		
""					
""	Movement Up	Reason	Value		
""	Pass Platform 1 in the Up direction	Approach control	"1approachingGerrardsCross"		
""	Not at line speed passing Gerrards Cross	"11⁄2 Class 168/ 1 Class 165approachingnext timingpoint"			
""					
""	Connectional Allowance	1			
""					
""	Dwell Time				
""	A minimum dwell of 1 minute is required for a train terminating and departing ECS to the turnback siding				
""					
""	Junction Margins				
""	First Movement		Second Movement		Margin
""	Depart Platform 1 to turnback siding		Up arrival/pass Platform 2		21⁄2
""					
""	Platform Reoccupation				
""	"For movements in same oropposite direction"	3			
""					
""	Minimum Turnround Time – Trains changing direction at end of journey				
""	Down platform	5			
""	Shunting via Turnback Siding	11			
