""	Roby			
""				
""	Adjustments to Sectional Running Times			
""	Movement Down	Reason	Timing Load	Value
""	"Down Chat Moss Slow to Down Chat Mossnot stopping at Roby (applies at next timingpoint after Roby)No adjustment applies to any traffic timed at45mph or less"	"Acceleration from slower speedjunction"	"All Passengerand lightengines"	1⁄2
""	"Freight TimingLoads to 1000t"	1⁄2		
""	"Freight TimingLoads 1200-1400T"	1		
""	"Freight TimingLoads above1600T"	11⁄2		
""				
""	Junction Margins			
""	First Movement	Second Movement	Margin	
""	Down Chat Moss Fast towards Edge Hill	Down Chat Moss Slow towards Edge Hill	2	
""	Olive Mount Jn		
""			
""	Adjustments to Sectional Running Times		
""	Movement Down	Reason	Value
""	"Down Freight train passing to Olive MountChord"	Approach control	"1approachingOlive MountJn"
""			
""	Movement Up	Reason	Value
""	"Up Freight train passing from Olive MountChord"	Acceleration to line speed	"1 after OliveMount Jn"
""	"Up Passenger train stopping at WavertreeTechnology Park, then non-stop to Huyton"	Acceleration to line speed	"1⁄2 after OliveMount Jn"
""			
""	Junction Margins		
""	First Movement	Second Movement	Margin
""	Down Freight train pass to Olive Mount Chord	Up train pass non-stop towards Huyton	4
""	Down Freight train pass to Olive Mount Chord	"Up stopping train pass from WavertreeTechnology Park"	2
""	Up train pass	Down Freight train pass to Olive Mount Chord	4
""	Up Freight train pass from Olive Mount Chord	Down Freight train pass to Olive Mount Chord	5
""	Up train pass towards Huyton	Up Freight train pass from Olive Mount Chord	3
""	Down/Up Waterloo Sidings (Tuebrook)	
""		
""	Run-round Allowance	25 minutes
""	Run-round Allowance (DOO)	35 minutes for DB Cargo trains
