""	NW5001 CREWE NORTH JN TO MANCHESTER PICCADILLY					
""	Timing Section	Type	FL/ML	SL	GL	Remarks
""						
""	Down – Daily					
""	Approaching Cheadle Hulme	E	1*			"* Only applies to trains originating beyondAlderley Edge"
""						
""	Up – Daily					
""	Approaching Crewe Signal CE154	E	1	1		
""	NW5003 WILMSLOW TO SLADE LANE JN (STYAL LINES)					
""	Timing Section	Type	FL/ML	SL	GL	Remarks
""						
""	Down – Daily					
""	Approaching Slade Lane Jn	E	2			"Only applies to trains originating fromWilmslow and beyond can be placedanywhere between Heald Green South Jn.and Slade Lane Jn. if required"
""	P	1⁄2			"Only applies to trains calling all stationsfrom Manchester Airport"	
""	NW5007 MANCHESTER AIRPORT TO HEALD GREEN NORTH JN					
""	Timing Section	Type	FL/ML	SL	GL	Remarks
""						
""	Up – Daily					
""	"Approaching Heald Green WestJn"	P	1⁄2			"Only applies to trains calling all stationsfrom Manchester Piccadilly"
""	NW5008 NORTON BRIDGE TO STONE JN					
""	Timing Section	Type	FL/ML	SL	GL	Remarks
""						
""	Up – SX Daytime					
""	Approaching Norton Bridge	E	1*			"Applies to trains routed towards Colwichvia Stafford"
""	NW5009 COLWICH JN TO CHEADLE HULME					
""	Timing Section	Type	FL/ML	SL	GL	Remarks
""						
""	Down – Daily					
""	Approaching Stoke-on-Trent Jn	E	1*			"* Applies to Passenger trains that startedsouth of Stoke on Trent (excludingCrossCountry and West Midlands Trains)and all Freight trains irrespective of origin"
""	Approaching Cheadle Hulme	E	1£			"£ Only applies to trains starting south ofMacclesfield"
""						
""	Up – Daily					
""	Approaching Stoke-on-Trent	E	1*			"* Does not apply for services towardsDerby"
""	Approaching Colwich	E	1			
