STATION	PLATFORM	"USABLELENGTH"	NOTES
""			
Dunblane	1	170	Up Platform
Dunblane	2	174	Down Platform
Dunblane	3	174	Down Passenger Loop
Duncraig		37	Single Platform
Dundee	1	362	Up & Down Bi-Directional Platform
Dundee	1N	98	Up & Down Bi-Directional Platform
Dundee	1S	230	Up & Down Bi-Directional Platform
Dundee	2	198	Bay Platform
Dundee	3	123	Bay Platform
Dundee	4	316	Up & Down Bi-Directional Platform
Dunfermline City	2	234	Down Platform
Dunfermline City	1	165	Up Platform
Dunfermline Queen Margaret	1 & 2	147	Up Platform 1 / Down Platform 2
Dunkeld & Birnam	1	255	Up Platform – Bi-Directional
Dunkeld & Birnam	2	213	Down Platform
Dunlop	1 & 2	165	"Up Platform 1 / Down Platform 2 – Bi-Directional"
Dunrobin Castle		62	Single Platform
Dyce	1	168	Down Platform – Bi-Directional
Dyce	2	162	Up Platform – Bi-Directional
""			
East Kilbride		144	Bay Platform
Easterhouse	1	123	Down Platform
Easterhouse	2	127	Up Platform
East Linton	1	164	Up Platform
East Linton	2	164	Down Platform
Edinburgh	1	156	Up & Down Bi-Directional Platform
Edinburgh	2	261	Up & Down Bi-Directional Platform
Edinburgh	3	119	Bay Platform
Edinburgh	4	206	Bay Platform
Edinburgh	5	275	Bay Platform
Edinburgh	6	275	Bay Platform
Edinburgh	7	222	Up & Down Bi-Directional Platform
Edinburgh	8	293	Up & Down Bi-Directional Platform
Edinburgh	9	289	Up & Down Bi-Directional Platform
Edinburgh	10	221	Up & Down Bi-Directional Platform
Edinburgh	11	239	Up & Down Bi-Directional Platform
Edinburgh	12	190	Bay Platform
Edinburgh	13	151	Bay Platform
Edinburgh	14	212	Bay Platform
Edinburgh	15	201	Bay Platform
Edinburgh	16	197	Bay Platform
Edinburgh	17	196	Bay Platform
Edinburgh	18	109	Bay Platform
Edinburgh	19	261	Up & Down Bi-Directional Platform
Edinburgh	20	156	Up & Down Bi-Directional Platform
Edinburgh	1+20	385	Combined Up & Down Bi-Directional Platform
Edinburgh	2+19	595	Combined Up & Down Bi-Directional Platform
Edinburgh	7+11	542	Combined Up & Down Bi-Directional Platform
Edinburgh Gateway	1 & 2	265	Up Platform 1 / Down Platform 2
Edinburgh Park	1 & 2	148	Up Platform 1 / Down Platform 2
Elgin	1	160	Bi-Directional Mainline Platform
Elgin	2	161	Bi-Directional Loop Platform
Eskbank		160	Single Platform
