SO560 REDHILL TO GOMSHALL				
TIMING POINT	DOWN	UP	CODE	NOTES
""				
Redhill	-	SL		"Platform detail (includes DML and UML)must be shown.To/from Stoats Nest Junction - SO500To/from Earlswood – SO500To/from Nutfield - SO550"
Redhill Signal 1322	-	-		"Shunt signal available for ECS movementsUse TIPLOC REDH322"
Reigate C.H.S	-			"Down Siding availableUse TIPLOC REIGCHS"
Reigate Signal RG17	-	-		"Shunt signal available for ECS movementsUse TIPLOC REIG17"
Reigate	-	-		
Betchworth	-	-		"Timing point for all Down direction servicesand Up stopping services"
Dorking Deepdene	-	-	S	Platform detail must be shown
Dorking West	-	-		
Gomshall	-	-		"To/from Chilworth – Refer to WessexTimetable Planning Rules - SW300"
SO590 KEYMER JUNCTION TO EASTBOURNE				
TIMING POINT	DOWN	UP	CODE	NOTES
""				
Keymer Junction	-	"UMLDML"		To/from Wivelsfield – SO500
Plumpton	-	-	S	
Cooksbridge	-	-	S	
Lewes	-	-		"Platform detail must be shownTo/from Falmer - SO620"
Southerham Junction	-	-		To/from Southease - SO620
Glynde	-	-	S	
Berwick	-	-	S	
Polegate Shunt Signal 1373	-			"For ECS moves to shunt betweenplatforms TIPLOC: POLG373"
Polegate	-	-		
Willingdon Junction	-	-		To/from Pevensey and Westham - SO600
Hampden Park	-	-		Platform detail must be shown
Eastbourne Up Carriage Sidings	-	-		Use TIPLOC EBOUCS
Eastbourne Spike Siding	-	-		Use TIPLOC EBOUSPS
Eastbourne Sidings	-	-		"Access controlled by TOC ShunterUse TIPLOC EBOUSIDSiding detail must be shown (S1, S2, S3,S4, S5 or S6)"
Eastbourne Shunt Signal 501	-			"For ECS moves to shunt within UpCarriage Siding TIPLOC: EBOU501"
Eastbourne Shunt Signal 503	-			"For ECS moves to shunt betweenplatforms TIPLOC: EBOU503"
Eastbourne		-		Platform detail must be shown
""				
