""										
SO250B BATTERSEA PIER JUNCTION TO LONGHEDGE JUNCTION			
TIMING POINT	DOWN	UP	NOTES
""			
Battersea Pier Junction – Stewarts Lane Junction	3	3	
Stewarts Lane Junction – Longhedge Junction	3	3	
SO250C POUPARTS JUNCTION TO LONGHEDGE JUNCTION			
TIMING POINT	DOWN	UP	NOTES
""			
Pouparts Junction – Longhedge Junction	3	3	
SO250D FALCON JUNCTION TO LATCHMERE JUNCTION (NO 1)			
TIMING POINT	DOWN	UP	NOTES
""			
Falcon Junction – Latchmere Junction (No 1)	3	3	
SO500 LONDON VICTORIA TO BRIGHTON				
""				
DOWN DIRECTION (FOLLOWING CLASS 0, 1, 2, 3, 5, 9 + SEASONAL CLASS 8)				
""	SLOW LINE	FAST LINE		
"TIMING POINTFirst location is inclusive and secondlocation is exclusive (unless otherwisestated below)"	"FOLLOWINGNON-STOPPING"	"FOLLOWINGSTOPPING"	"FOLLOWINGNON-STOPPING"	"FOLLOWINGSTOPPING"
London Victoria – Battersea Park	2	2	2	2
Battersea Park – Clapham Junction	2	3**	2	3**
Clapham Junction – Balham	3			
Balham – Windmill Bridge Junction	21⁄2*			
Windmill Bridge Junction – East Croydon	2			
East Croydon – South Croydon	3			
South Croydon – Stoats Nest Junction	2			
"Stoats Nest Junction – Redhill (via RedhillLines)"	21⁄2	3	N/A	N/A
Redhill – Earlswood (via Redhill Lines)	2			
"Stoats Nest Junction – Earlswood (viaQuarry Lines)"	N/A	N/A	21⁄2†	N/A
Earlswood – Three Bridges	2	4**	2	31⁄2**
"Three Bridges – Balcombe TunnelJunction"	21⁄2			
Balcombe Tunnel Junction – Preston Park	2	3	2	3
Preston Park – Brighton	3	3	3	3
* A 2 minute headway may be applied if the second train converges from the Down Streatham Spur				
"** The “Following Non-Stopping” headway can also be applied to consecutive arrivals at:East Croydon where the previous station call has been either London Victoria, London Bridge or Clapham Junctionproviding the second train arrives in a different platform and the correct headway has been applied at the previoustiming point; and at Gatwick Airport where the previous station call has been London Victoria, London Bridge,Clapham Junction, East Croydon or Redhill providing the second train arrives in a different platform and the correctheadway has  been applied at the previous timing point"				
† A 2 minute headway may be applied between no more than two consecutive trains				
""				
