STATION	PLATFORM AND LINE	"USABLELENGTH"	NOTES
Newhaven Harbour	2 - Up Seaford	172	
Newhaven Marine	Single	245	
Newhaven Town	1 - Up Seaford	103	
Newhaven Town	2 - Down Seaford	103	
Norbury	1 - Down Slow	201	
Norbury	2 - Up Slow	201	
Norbury	3 - Down Fast	201	
Norbury	4 - Up Fast	183	
Normans Bay	1 - Up Bexhill	80	
Normans Bay	2 - Down Bexhill	80	
North Dulwich	1 - Up Portsmouth	162	
North Dulwich	2 - Down Portsmouth	168	
Norwood Junction	1 - Up Slow (Station side)	219	
Norwood Junction	2 - Up Slow (Island Side)	184	
Norwood Junction	3 - Up Fast	205	
Norwood Junction	4 - Down Fast	209	
Norwood Junction	5 - Down Wallington	209	
Norwood Junction	6 - Down Passenger Loop	192	
Nutbourne	1 - Up	123	
Nutbourne	2 - Down	123	
Nutfield	1 - Up Tonbridge	122	
Nutfield	2 - Down Tonbridge	135	
""			
Ockley	1 - Up	151	
Ockley	2 - Down	153	
Ore	1 - Down Ore	107	
Ore	2 - Up Ore	107	
Oxted	1 - Up East Grinstead	245	12 Cars
Oxted	2 - Down East Grinstead	245	12 Cars
Oxted	3 - Down Bay	80	4 Cars
""			
Peckham Rye	1 - Down South London	161	
Peckham Rye	2 - Up South London	161	
Penge West	1 - Up Slow	163	
Penge West	2 - Down Slow	165	
Penshurst	1 - Up Godstone	92	
Penshurst	2 - Down Godstone	92	
Pevensey and Westham	1 - Up Bexhill	116	
Pevensey and Westham	2 - Down Bexhill	128	
Pevensey Bay	1 - Up Bexhill	78	
Pevensey Bay	2 - Down Bexhill	78	
Plumpton	1 - Up Lewes	167	
Plumpton	2 - Down Lewes	166	
Polegate	1 - Up Main	276	
Polegate	2 - Down Main	276	
Portslade	1 - Up Brighton	249	
Portslade	2 - Down Brighton	152	
Preston Park	1 - Up Loop	246	Up direction
Preston Park	2 - Up Main	246	Down direction
Preston Park	2 - Up Main	246	Up direction
Preston Park	3 - Down Main	246	
Pulborough	1 - Up	205	
Pulborough	2 - Down	181	
Purley	1 - Up Fast	248	
