|                                |                                            |       |       |                                         |                                           |
|:-------------------------------|:-------------------------------------------|:------|:------|:----------------------------------------|:------------------------------------------|
| SO330 NUNHEAD TO HAYES         |                                            |       |       |                                         |                                           |
| TIMING POINT                   | DOWN                                       | UP    | CODE  | NOTES                                   |                                           |
| Nunhead                        | -                                          | -     |       | Platform detail must be shown           |                                           |
|                                |                                            |       |       | To/from Peckham Rye – SO260             |                                           |
| Nunhead Junction               |                                            |       |       | To/from Crofton Park - SO260            |                                           |
| Nunhead Junction Signal VS452  |                                            | -     | S     |                                         |                                           |
| Lewisham Vale Junction         | -                                          | UTH   |       | To/from Tanners Hill Junction - SO130C  |                                           |
|                                |                                            | UL    |       |                                         |                                           |
| Lewisham Junction              |                                            |       |       | To/from St Johns - SO130D.              |                                           |
|                                |                                            |       |       | To/from Blackheath – SO300              |                                           |
| Lewisham                       | -                                          | - UNK |       | Platform detail must be shown           |                                           |
| Courthill Loop North Junction  |                                            |       |       | To/from Courthill Loop South Junction - |                                           |
|                                |                                            |       |       | SO130F                                  |                                           |
| Ladywell Junction              | -                                          | - LW  |       | Line code LW applies only to trains to  |                                           |
|                                |                                            |       |       | Parks Bridge Junction                   |                                           |
|                                |                                            |       |       | To/from Parks Bridge Junction – SO130E  |                                           |
| Ladywell                       | -                                          | -     | S     |                                         |                                           |
| Catford Bridge                 | -                                          | -     | S     |                                         |                                           |
| Lower Sydenham                 | -                                          | -     | S     |                                         |                                           |
| New Beckenham                  | -                                          | -     |       | To/from Beckenham Junction - SO330A     |                                           |
|                                |                                            |       |       | Platform detail must be shown           |                                           |
| Clock House                    | -                                          | -     | S     |                                         |                                           |
| Elmers End Shunt Signal TL1395 | -                                          | -     |       | Use TIPLOC ELME395                      |                                           |
| Elmers End                     | -                                          | -     |       |                                         |                                           |
| Eden Park                      | -                                          | -     | S     |                                         |                                           |
| West Wickham                   | -                                          | -     | S     |                                         |                                           |
| Hayes Shunt Signal TL1401      | -                                          | -     |       | Use TIPLOC HAYS401                      |                                           |
| Hayes                          |                                            | -     |       | Platform detail must be shown           |                                           |
|                                | SO330A NEW BECKENHAM TO BECKENHAM JUNCTION |       |       |                                         |                                           |
|                                | TIMING POINT                               | DOWN  | UP    | CODE                                    | NOTES                                     |
|                                | New Beckenham                              | -     | -     |                                         | To/from Lower Sydenham - SO330            |
|                                | Beckenham Spur Shunt Signal                | -     | -     |                                         | Use TIPLOC BCKNSPR                        |
|                                | TL376 or VS163                             |       |       |                                         | Only to be used for trains reversing here |
|                                | New Beckenham Sidings                      | -     | -     |                                         | Use TIPLOC NBCKSDG                        |
|                                | Beckenham Junction                         | -     | -     |                                         | TIPLOC BCKNHMJ applies to Kent side       |
|                                |                                            |       |       |                                         | To/from Shortlands Junction - SO110       |
|                                | SO350 GROVE PARK TO BROMLEY NORTH          |       |       |                                         |                                           |
|                                | TIMING POINT                               | DOWN  | UP    | CODE                                    | NOTES                                     |
|                                | Grove Park                                 | -     | FL SL |                                         | Platform detail must be shown             |
|                                |                                            |       |       |                                         | To/from Hither Green - SO130              |
|                                | Grove Park Shunt Signal TL1336             | -     |       |                                         | Use TIPLOC GRVP336                        |
|                                | Sundridge Park                             | -     | -     | S                                       |                                           |
|                                | Bromley North                              |       | -     |                                         | Platform detail must be shown             |
