|                                                                                                                 |            |             |             |
|:----------------------------------------------------------------------------------------------------------------|:-----------|:------------|:------------|
| LN816 BEIGHTON JUNCTION TO WOODHOUSE JUNCTION                                                                   |            |             |             |
| ROUTE SECTION                                                                                                   | SX         | SO          | SUN         |
| Beighton Junction (excl) to                                                                                     | Continuous | Continuous* | 0000-0015*  |
| Woodhouse Junction (excl)                                                                                       |            |             | 1330 – 2359 |
| *Extended opening hours listed below are agreed for the purpose of operating specific Northern Trains services. |            |             |             |
| These are subject to Network Rail receiving funding on an ongoing basis as agreed between Northern Trains and   |            |             |             |
| Network Rail.                                                                                                   |            |             |             |
|                                                                                                                 |            |             |             |
| Beighton Junction (excl) to Woodhouse Junction (excl) closes at 0015 vice 2200 SO                               |            |             |             |
