|                         |                                   |        |         |          |           |         |         |         |         |          |          |          |          |          |
|:------------------------|:----------------------------------|:-------|:--------|:---------|:----------|:--------|:--------|:--------|:--------|:---------|:---------|:---------|:---------|:---------|
| Immingham West Junction | 196 Routes Detailed in the Matrix |        |         |          |           |         |         |         |         |          |          |          |          |          |
| 2nd Move                | Pass                              | Pass   | Pass on | Pass on  | Pass on   | Pass on | Pass on | Pass on | Pass on | Pass on  | Pass on  | Pass on  | Pass on  | Pass on  |
| →                       | on Up                             | on Up  | Up      | Up       | Up        | Up      | Up      | DN      | DN      | DN       | DN       | DN       | DN       | DN       |
|                         | K’holm                            | K’holm | K’holme | K’holme  | K’holme   | K’holme | K’holme | K’holme | K’holme | K’holme  | K’holme  | K’holme  | Ki’holme | Ki’holme |
|                         | e to IBT                          | e to   | to IBT  | to HIT   | to        | to      | to      | from    | from    | from     | from HIT | from IBT | from IBT | from IBT |
|                         | Ore                               | IBT    | Coal    | No. 1 or | Western   | Henders | Mineral | Mineral | Henders | Western  | No.1 or  | Coal     | Coal     | Ore Line |
|                         | Line                              | Coal   | Pad 2   | No.2     | Jetty     | on Quay | Quay    | Quay    | on Quay | Jetty    | No.2     | Pad 2    | Pad 1    |          |
|                         |                                   | Pad 1  |         | Arrival/ | Arrival   |         |         |         |         | Departur | Arrival/ |          |          |          |
|                         |                                   |        |         | Departur | Line (for |         |         |         |         | e Line   | Departur |          |          |          |
|                         |                                   |        |         | e        | Simon     |         |         |         |         | (from    | e Line   |          |          |          |
|                         |                                   |        |         |          | Storage   |         |         |         |         | Simon    |          |          |          |          |
|                         |                                   |        |         |          | West) †   |         |         |         |         | Storage  |          |          |          |          |
|                         |                                   |        |         |          |           |         |         |         |         | West)    |          |          |          |          |
| 1st Move ↓              |                                   |        |         |          |           |         |         |         |         |          |          |          |          |          |
| Pass on Up              |                                   | H      | H       | H        | H         | H       | H       | P       | P       | P        | P        | 9        | 9        |          |
| K’holme to              |                                   |        |         |          |           |         |         |         |         |          |          |          |          |          |
| IBT Ore                 |                                   |        |         |          |           |         |         |         |         |          |          |          |          |          |
| Line                    |                                   |        |         |          |           |         |         |         |         |          |          |          |          |          |
| Pass on Up              | H                                 |        | H       | H        | H         | H       | H       | P       | P       | P        | P        | 9        |          | 9        |
| K’holme to              |                                   |        |         |          |           |         |         |         |         |          |          |          |          |          |
| IBT Coal                |                                   |        |         |          |           |         |         |         |         |          |          |          |          |          |
| Pad 1                   |                                   |        |         |          |           |         |         |         |         |          |          |          |          |          |
| Pass on Up              | H                                 | H      |         | H        | H         | H       | H       | P       | P       | P        | P        |          | 9        | 9        |
| K’holme to              |                                   |        |         |          |           |         |         |         |         |          |          |          |          |          |
| IBT Coal                |                                   |        |         |          |           |         |         |         |         |          |          |          |          |          |
| Pad 2                   |                                   |        |         |          |           |         |         |         |         |          |          |          |          |          |
| Pass on Up              | 61⁄2*                             | 61⁄2*  | 61⁄2*   |          | H         | H       | H       | 8       | 8       | 8        | 7        | 9        | 9        | 9        |
| K’holme to              |                                   |        |         |          |           |         |         |         |         |          |          |          |          |          |
| HIT No. 1               |                                   |        |         |          |           |         |         |         |         |          |          |          |          |          |
| or No.2                 |                                   |        |         |          |           |         |         |         |         |          |          |          |          |          |
| Arrival/                |                                   |        |         |          |           |         |         |         |         |          |          |          |          |          |
| Departure               |                                   |        |         |          |           |         |         |         |         |          |          |          |          |          |
| Pass on Up              | 61⁄2*                             | 61⁄2*  | 61⁄2*   | H        |           | H       | H       | 8       | 101⁄2   |          | 7        | 9        | 9        | 9        |
| K’holme to              |                                   |        |         |          |           |         |         |         |         |          |          |          |          |          |
| Western                 |                                   |        |         |          |           |         |         |         |         |          |          |          |          |          |
| Jetty Arrival           |                                   |        |         |          |           |         |         |         |         |          |          |          |          |          |
| Line (for               |                                   |        |         |          |           |         |         |         |         |          |          |          |          |          |
| Simon                   |                                   |        |         |          |           |         |         |         |         |          |          |          |          |          |
| Storage                 |                                   |        |         |          |           |         |         |         |         |          |          |          |          |          |
| West) †                 |                                   |        |         |          |           |         |         |         |         |          |          |          |          |          |
| Pass on Up              | 61⁄2*                             | 61⁄2*  | 61⁄2*   | H        | H         |         | H       | 8       |         | 121⁄2    | 7        | 9        | 9        | 9        |
| K’holme to              |                                   |        |         |          |           |         |         |         |         |          |          |          |          |          |
| Henderson               |                                   |        |         |          |           |         |         |         |         |          |          |          |          |          |
| Quay                    |                                   |        |         |          |           |         |         |         |         |          |          |          |          |          |
| Pass on Up              | 61⁄2*                             | 61⁄2*  | 61⁄2*   | H        | H         | H       | 91⁄2*   | 141⁄2   | 8       | 8        | 7        | 9        | 9        | 9        |
| K’holme to              |                                   |        |         |          |           |         |         |         |         |          |          |          |          |          |
| Mineral                 |                                   |        |         |          |           |         |         |         |         |          |          |          |          |          |
| Quay                    |                                   |        |         |          |           |         |         |         |         |          |          |          |          |          |
