|        |        |            |         |                  |        |     |       |                |                     |      |      |    |
|:-------|:-------|:-----------|:--------|:-----------------|:-------|:----|------:|:---------------|:--------------------|-----:|:-----|:---|
| UTU039 | 8 -    | 22/01/2024 | 43, 51, | Derby - Banbury  | 3Q40SC | MO  | 21.49 | DERBY          | READING TRIANGLE    | 5.4  | UTU- | RG |
|        | weekly |            | 07, 15, | - Didcot -       |        |     |       | R.T.C.(NETWORK | SIDINGS             |      | T    |    |
|        |        |            | 23 &    | Paddington -     |        |     |       | RAIL)          |                     |      |      |    |
|        |        |            | 31      | Reading          |        |     |       |                |                     |      |      |    |
| UTU065 | 8 -    | 11/01/2024 | 42, 49, | Hither Green -   | 3Q41BB | ThO | 19.57 | HITHER GREEN   | HITHER GREEN P.A.D. | 5.23 | UTU- | RG |
| A      | weekly |            | 05, 13, | Rochester -      |        |     |       | P.A.D.         |                     |      | T    |    |
|        |        |            | 21 & 29 | Charing X -      |        |     |       |                |                     |      |      |    |
|        |        |            |         | Orpington Fasts  |        |     |       |                |                     |      |      |    |
|        |        |            |         | - Hither Green   |        |     |       |                |                     |      |      |    |
| UTU048 | 8 -    | 17/01/2024 | 42, 49, | Hither Green -   | 3Q43BA | WO  | 21.58 | HITHER GREEN   | HITHER GREEN P.A.D. | 5.49 | UTU- | RG |
|        | weekly |            | 05, 13, | Swanley -        |        |     |       | P.A.D.         |                     |      | T    |    |
|        |        |            | 21 &    | Ashford -        |        |     |       |                |                     |      |      |    |
|        |        |            | 29      | Ramsgate -       |        |     |       |                |                     |      |      |    |
|        |        |            |         | Swanley - Hither |        |     |       |                |                     |      |      |    |
|        |        |            |         | Green            |        |     |       |                |                     |      |      |    |
| UTU065 | 8 -    | 12/01/2024 | 41, 48, | Hither Green -   | 3Q44BB | FO  | 21.21 | HITHER GREEN   | HITHER GREEN P.A.D. | 7.07 | UTU- | RG |
| B &    | weekly |            | 04, 12, | Lewisham -       |        |     |       | P.A.D.         |                     |      | R    |    |
|        |        |            | 20,     | Dartford -       |        |     |       |                |                     |      |      |    |
| UTU065 |        |            | 28 & 36 | Cannon Street -  |        |     |       |                |                     |      |      |    |
| C      |        |            |         | Hither Green     |        |     |       |                |                     |      |      |    |
| UTU064 | 8 -    | 11/01/2024 | 41, 48, | Hither Green -   | 3Q45BA | ThO | 23.16 | HITHER GREEN   | HITHER GREEN P.A.D. | 5.31 | UTU- | RG |
|        | weekly |            | 04, 12, | Swanley -        |        |     |       | P.A.D.         |                     |      | R    |    |
|        |        |            | 20,     | Ramsgate -       |        |     |       |                |                     |      |      |    |
|        |        |            | 28 & 36 | Ashford -        |        |     |       |                |                     |      |      |    |
|        |        |            |         | Swanley - Hither |        |     |       |                |                     |      |      |    |
|        |        |            |         | Green            |        |     |       |                |                     |      |      |    |
