|                                                                      |                                               |                 |
|:---------------------------------------------------------------------|:----------------------------------------------|:----------------|
| Heald Green                                                          |                                               |                 |
| Adjustments to Sectional Running Times                               |                                               |                 |
| Movement                                                             | Reason                                        | Value           |
| Up trains not calling at Heald Green routed                          | Reduction of speed over junction              | 1⁄2 approach    |
| towards Manchester Airport                                           |                                               | Heald Green     |
| Down trains not calling at Heald Green from                          | Acceleration to main line speed from junction | 1⁄2 After Heald |
| Manchester Airport                                                   |                                               | Green           |
| Junction margin                                                      |                                               |                 |
| First Movement                                                       | Second Movement                               | Margin          |
| Pass Heald Green from Styal                                          | Depart Heald Green to Manchester Airport      | 2               |
| Slade Lane Jn                                                        |                                               |                 |
| See entry under route NW5001 Crewe North Jn to Manchester Piccadilly |                                               |                 |
| NW5005 HEALD GREEN SOUTH JN TO HEALD GREEN WEST JN                   |                                               |                 |
| Heald Green South Jn                                                 |                                               |                 |
| See entry under route NW5003 Wilmslow to Slade Lane Jn (Styal Lines) |                                               |                 |
| Heald Green West Jn                                                  |                                               |                 |
