|                                         |      |    |      |                                 |
|:----------------------------------------|:-----|:---|:-----|:--------------------------------|
| GW650 LOSTWITHIEL TO CARNE POINT, FOWEY |      |    |      |                                 |
| TIMING POINT                            | DOWN | UP | CODE | NOTES                           |
| Lostwithiel                             | –    | –  |      |                                 |
| Lostwithiel Junction                    |      |    |      | To/from Lostwithiel – GW108     |
| Fowey Signal CL3782                     |      | –  | S    |                                 |
| Fowey Signal CL3781                     | –    |    | S    |                                 |
| Fowey Dock Carne Point                  |      | –  |      |                                 |
| GW660 PAR TO NEWQUAY                    |      |    |      |                                 |
| TIMING POINT                            | DOWN | UP | CODE | NOTES                           |
| Par                                     | –    | –  |      | To/from Lostwithiel – GW108     |
|                                         |      |    |      | Platform detail must be shown.  |
| St. Blazey Signal Box                   | –    | –  |      |                                 |
| St. Blazey LIP                          |      | –  | S    |                                 |
| St. Blazey SS                           |      | –  | S    |                                 |
| Luxulyan                                | –    | –  | S    |                                 |
| Goonbarrow Junction                     | –    | –  |      |                                 |
| Bugle                                   | –    | –  | S    |                                 |
| Roche                                   | –    | –  | S    |                                 |
| St. Columb Road                         | –    | –  | S    |                                 |
| Quintrel Downs                          | –    | –  | S    |                                 |
| Newquay                                 |      | –  |      |                                 |
| GW672 BURNGULLOW TO PARKANDILLACK       |      |    |      |                                 |
| TIMING POINT                            | DOWN | UP | CODE | NOTES                           |
| Burngullow Junction                     | –    | –  |      | To/from Par – GW108             |
| Burngullow ECC                          |      | –  | S    |                                 |
| Treviscoe ECC Siding                    |      | –  | S    |                                 |
| Parkandillack                           |      | –  |      |                                 |
| GW680 PENWITHERS TO FALMOUTH            |      |    |      |                                 |
| TIMING POINT                            | DOWN | UP | CODE | NOTES                           |
| Penwithers Junction                     | –    | –  |      | To/from Truro – GW108           |
| Perranwell                              | –    | –  | S    |                                 |
| Penryn Down Loop                        | –    |    |      | Down trains using the loop only |
| Penryn                                  | –    | –  |      | Platform detail must be shown   |
| Penmere                                 | –    | –  | S    |                                 |
| Falmouth Town                           | –    | –  | S    |                                 |
| Falmouth Docks                          |      | –  |      |                                 |
| GW690 ST. ERTH TO ST. IVES              |      |    |      |                                 |
| TIMING POINT                            | DOWN | UP | CODE | NOTES                           |
| St. Erth                                | –    | –  |      | To/from Long Rock – GW108       |
| Lelant Saltings                         | –    | –  | S    |                                 |
| Lelant                                  | –    | –  | S    |                                 |
| Carbis Bay                              | –    | –  | S    |                                 |
| St Ives                                 |      | –  |      |                                 |
