|                        |              |           |                                       |
|:-----------------------|:-------------|:----------|:--------------------------------------|
| STATION                | PLATFORM     | USABLE    | NOTES                                 |
|                        |              | LENGTH    |                                       |
|                        |              | In metres |                                       |
| Wargrave               | Single       | 77        | Top of ramp to nearest mirror         |
| Warminster             | 1            | 128       |                                       |
| Warminster             | 2            | 121       |                                       |
| Waun-Gron Park         | Down         | 46        |                                       |
| Waun-Gron Park         | Up           | 45        |                                       |
| Welshpool              | Down         | 165       |                                       |
| Welshpool              | Up           | 165       |                                       |
| Wem                    | Down         | 78        |                                       |
| Wem                    | Up           | 87        |                                       |
| West Drayton           | 1 (Down      | 205       |                                       |
|                        | Main Line)   |           |                                       |
| West Drayton           | 2 (Up Main   | 210       |                                       |
|                        | Line)        |           |                                       |
| West Drayton           | 3 (Down      | 210       |                                       |
|                        | Relief Line) |           |                                       |
| West Drayton           | 4 (Up Relief | 158       |                                       |
|                        | Line)        |           |                                       |
| West Drayton           | 5 (Loop)     | 212       |                                       |
| West Ealing            | 3 (Down      | 145       | Top of ramp to nearest mirror         |
|                        | Relief Line) |           |                                       |
| West Ealing            | 4 (Up Relief | 212       | Top of ramp to footbridge             |
|                        | Line)        |           |                                       |
| West Ealing            | 5 (Bay       | 132       |                                       |
|                        | Platform)    |           |                                       |
| Westbury               | 1            | 224       | (reversible) 224 ramp top to ramp top |
| Westbury               | 2            | 315       | (reversible)                          |
| Westbury               | 3            | 295       | (reversible)                          |
| Weston Milton          | Single       | 184       |                                       |
| Weston-super-Mare      | 1 (Down)     | 210       |                                       |
| Weston-super-Mare      | 2 (Up)       | 312       |                                       |
| Whitchurch (Salop)     | Down         | 144       |                                       |
| Whitchurch (Salop)     | Up           | 86        |                                       |
| Whitchurch (S. Glam.)  | Single       | 98        |                                       |
| Whitland               | 1            | 178       |                                       |
| Whitland               | 2            | 177       |                                       |
| Whitland               | 3  (Bay)     | 134       | Pembroke Dock trains only             |
| Wildmill               | Single       | 84        |                                       |
| Windsor & Eton Central | Single       | 117       |                                       |
| Worle                  | 1            | 100       |                                       |
| Worle                  | 2            | 100       |                                       |
| Wrenbury               | Down         | 101       |                                       |
| Wrenbury               | Up           | 101       |                                       |
| Yate                   | 1            | 105       |                                       |
| Yate                   | 2            | 103       |                                       |
| Yatton                 | 1            | 162       |                                       |
| Yatton                 | 2            | 121       |                                       |
| Yeoford                | Single       | 136       |                                       |
| Ynyswen                | Single       | 124       |                                       |
| Yorton                 | Down         | 51        |                                       |
| Yorton                 | Up           | 61        |                                       |
| Ystrad Mynach          | Down         | 124       |                                       |
| Ystrad Mynach          | Up           | 124       |                                       |
| Ystrad Rhondda         | Down         | 124       |                                       |
| Ystrad Rhondda         | Up           | 124       |                                       |
