|                                          |      |        |      |                                             |
|:-----------------------------------------|:-----|:-------|:-----|:--------------------------------------------|
| SW135 EASTLEIGH WEST JUNCTION TO FAREHAM |      |        |      |                                             |
| TIMING POINT                             | DOWN | UP     | CODE | NOTES                                       |
| Eastleigh West Junction                  |      |        |      | To/from Eastleigh - SW105                   |
| Eastleigh South Junction                 | -    | -      |      |                                             |
| Eastleigh T&R.S.M.D.                     |      | -      | S    | ECS and LE moves only                       |
| Hedge End                                | -    | -      | S    |                                             |
| Botley Signal E295                       | -    |        | S    |                                             |
| Botley Aggregate Sidings                 | -    | -      | F    |                                             |
| Botley                                   | -    | -      |      |                                             |
| Fareham North Junction                   | -    | -      |      |                                             |
| Fareham Signal E825                      | -    |        | S    |                                             |
| Fareham ARC Sidings                      | -    | -      | F    |                                             |
| Fareham                                  | -    | -      |      | Platform detail must be shown.              |
|                                          |      |        |      | To/from Portchester - SW140                 |
| SW140 ST DENYS TO PORTCREEK JUNCTION     |      |        |      |                                             |
| TIMING POINT                             | DOWN | UP     | CODE | NOTES                                       |
| St Denys                                 | -    | FL  SL |      | To/from Northam Junction - SW105            |
| Bitterne                                 | -    | -      | S    |                                             |
| Signal E803                              | -    |        |      | Timing point for all Down trains.           |
| Woolston                                 | -    | -      | S    |                                             |
| Sholing                                  | -    | -      |      | Timing point for all Up trains and stopping |
|                                          |      |        |      | Down trains.                                |
| Netley                                   | -    | -      |      | Timing point for all Down trains and        |
|                                          |      |        |      | stopping Up trains.                         |
| Hamble                                   | -    | -      |      | Timing point for all Up trains and stopping |
|                                          |      |        |      | Down trains.                                |
| Bursledon                                | -    | -      |      | Timing point for all Down trains and        |
|                                          |      |        |      | stopping Up trains.                         |
| Swanwick                                 | -    | -      |      |                                             |
| Fareham Signal E283                      | -    |        | S    | Shunt moves only                            |
| Fareham ARC Sidings                      | -    | -      | F    |                                             |
| Fareham                                  | -    | -      |      | Platform detail must be shown.              |
|                                          |      |        |      | To/from Fareham North Junction - SW135      |
| Portchester                              | -    | -      | S    |                                             |
| Cosham                                   | -    | -      |      |                                             |
| Cosham Junction                          | -    | -      |      | To/from Farlington Junction - SW140A        |
| Portcreek Junction                       | -    | -      |      | To/from Hilsea - SW110                      |
