|                                             |              |          |                                                      |
|:--------------------------------------------|:-------------|:---------|:-----------------------------------------------------|
| SW110 WOKING JUNCTION TO PORTSMOUTH HARBOUR |              |          |                                                      |
| TIMING POINT                                | DOWN         | UP       | NOTES                                                |
| Woking Junction – Guildford                 | 2 – Non-     | 2 – Non- |                                                      |
|                                             | stopping     | stopping |                                                      |
|                                             | 31⁄2 -       | 31⁄2 -   |                                                      |
|                                             | Stopping     | Stopping |                                                      |
| Guildford – Shalford Junction               | 3*           | 2        | * Increase to 31⁄2 at Guildford if both trains are   |
|                                             |              |          | taking the same route at Shalford Junction, or if    |
|                                             |              |          | the first train is from Guildford Platforms 3, 5, 6, |
|                                             |              |          | or 8.                                                |
| Shalford Junction – Petersfield             | 3 – Non-     | 3 – Non- |                                                      |
|                                             | stopping     | stopping |                                                      |
|                                             | 31⁄2 -       | 31⁄2 -   |                                                      |
|                                             | Stopping     | Stopping |                                                      |
| Petersfield – Havant                        | 3– Non-      | 3 – Non- |                                                      |
|                                             | stopping     | stopping |                                                      |
|                                             | 3 - Stopping | 3 –      |                                                      |
|                                             |              | Stopping |                                                      |
| Havant – Portcreek Junction                 | 2 – Non-     | 2 – Non- |                                                      |
|                                             | stopping     | stopping |                                                      |
|                                             | 21⁄2 -       | 21⁄2 -   |                                                      |
|                                             | Stopping     | Stopping |                                                      |
| Portcreek Junction – Portsmouth             | 2 – Non-     | 2 – Non- |                                                      |
| Harbour                                     | stopping     | stopping |                                                      |
|                                             | 21⁄2 -       | 21⁄2 -   |                                                      |
|                                             | Stopping     | Stopping |                                                      |
| SW115 WORTING JUNCTION TO EXETER ST DAVIDS  |              |          |                                                      |
| TIMING POINT                                | DOWN         | UP       | NOTES                                                |
| Worting Junction - Andover                  | 5 – Non-     | 5 – Non- |                                                      |
|                                             | stopping     | stopping |                                                      |
|                                             | 6 –          | 6 –      |                                                      |
|                                             | Stopping     | Stopping |                                                      |
| Andover – Grateley                          | 6 – Non-     | 6 – Non- |                                                      |
|                                             | stopping     | stopping |                                                      |
|                                             | 8 - Stopping | 7 –      |                                                      |
|                                             |              | Stopping |                                                      |
| Grateley – Salisbury Tunnel                 | 5 – Non-     | 5 – Non- |                                                      |
| Junction                                    | stopping     | stopping |                                                      |
|                                             | 6 –          | 6 –      |                                                      |
|                                             | Stopping     | Stopping |                                                      |
| Salisbury Tunnel Junction –                 | 21⁄2 - Non-  | AB+1*    | * TCB timed as AB.                                   |
| Salisbury                                   | stopping     |          |                                                      |
|                                             | and          |          |                                                      |
|                                             | Stopping     |          |                                                      |
| Salisbury – Wilton                          | 3 – Non-     | 3 – Non- |                                                      |
|                                             | stopping     | stopping |                                                      |
|                                             | 31⁄2 -       | 31⁄2 -   |                                                      |
|                                             | Stopping     | Stopping |                                                      |
| Wilton – Tisbury Loop                       | AB+2         | AB+2     | Single line. Tokenless Block plan as AB.             |
| Tisbury Loop – Gillingham                   | AB+1         | AB+1     | Single line. TCB plan as AB.                         |
