|                                                                                                                       |      |
|:----------------------------------------------------------------------------------------------------------------------|:-----|
| Surbiton                                                                                                              |      |
| All services except as below                                                                                          | 1    |
| Up direction services departing between 0645 and 0915 or Down direction services arriving                             | 11⁄2 |
| between 1600 and 2000 Monday to Friday                                                                                |      |
| Station Working Requirements                                                                                          |      |
| All trains that stop additionally at Surbiton (for Hampton Court Flower Show) are to be advertised 3 minutes later at |      |
| destination.                                                                                                          |      |
| Restriction                                                                                                           |      |
